Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
573	NCT04330495	Randomized, Controlled, Double-blind Clinical Trial Comparing the Efficacy and Safety of Chemoprophylaxis With Hydroxychloroquine in Patients Under Biological Treatment and / or JAK Inhibitors in the Prevention of SARS-CoV-2 Infection		Not yet recruiting	No Results Available	COVID 19|Immunomediated Inflammatory Disease in Treatment With Biological Agents and / or Jak Inhibitors	Drug: Hidroxicloroquina|Drug: Control group	Incidence rate of new COVID-19 cases in both arms|Prevalence of COVID-19 cases in both arms|Mortality rate secondary to COVID-19 cases in both groups|Intensive Care Unit (CU) admission rate secondary to COVID-19 cases in both groups|Adverse events	Instituto de Investigación Marqués de Valdecilla	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 4	800	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention	EnCOVID-HidroxiCLOROQUINA	April 6, 2020	November 6, 2020	November 6, 2020	April 1, 2020		April 13, 2020			https://ClinicalTrials.gov/show/NCT04330495
574	NCT04339881	NOsocomial Dissemination Risk of SARS-Cov2	NODS-Cov2	Not yet recruiting	No Results Available	Sars-CoV2		Understanding the dissemination of SARS Cov2 in hospital|Optimizing hospital strategies to prevent transmission to caregivers and not infected hospitalized patients with SARSCov2	Assistance Publique - Hôpitaux de Paris	All	Child, Adult, Older Adult		100	Other	Observational	Observational Model: Other|Time Perspective: Prospective	APHP200417	April 13, 2020	May 15, 2020	June 15, 2020	April 9, 2020		April 9, 2020			https://ClinicalTrials.gov/show/NCT04339881
575	NCT04325412	Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY	CAPACITY-COVID	Recruiting	No Results Available	COVID-19; Cardiovascular Diseases		The incidence of cardiovascular complications in patients with COVID-19	UMC Utrecht	All	18 Years and older   (Adult, Older Adult)		1000	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	20-161/C	March 23, 2020	March 23, 2021	June 23, 2021	March 27, 2020		March 27, 2020	University Medical Center Utrecht, Utrecht, Netherlands		https://ClinicalTrials.gov/show/NCT04325412
576	NCT04358614	Baricitinib Therapy in COVID-19		Completed	No Results Available	COVID|Pneumonia	Drug: Baricitinib 4 MG Oral Tablet	To assess the safety of baricitinib combined with antiviral (lopinavir-ritonavir) in terms of serious or non-serious adverse events incidence rate.|To evaluate the impact of baricitinib in terms of clinical, laboratory, respiratory parameters.|ICU admission rate|Discharge rate.	Fabrizio Cantini|Hospital of Prato	All	18 Years to 85 Years   (Adult, Older Adult)	Phase 2|Phase 3	12	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	HPrato-4	March 16, 2020	April 5, 2020	April 7, 2020	April 24, 2020		April 24, 2020	Fabrizio Cantini, Prato, Tuscany, Italy		https://ClinicalTrials.gov/show/NCT04358614
577	NCT04334928	Randomized Clinical Trial for the Prevention of SARS-CoV-2 Infection (COVID-19) in Healthcare Personnel	EPICOS	Active, not recruiting	No Results Available	Coronavirus Infection	Drug: Emtricitabine/tenofovir disoproxil|Drug: Hydroxychloroquine|Drug: Placebo: Emtricitabine/tenofovir disoproxil Placebo|Drug: Placebo: Hydroxychloroquine	Number of confirmed symptomatic infections of SARS-CoV-2 (COVID-19)|Severity of disease in confirmed infected participants of SARS-CoV-2 (COVID-19)|Duration of symptoms in confirmed infected participants of SARS-CoV-2 (COVID-19) measured in days	Plan Nacional sobre el Sida (PNS)|Effice Servicios Para la Investigacion S.L.	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 3	4000	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention	PrEP COVID-19	April 15, 2020	June 30, 2020	July 31, 2020	April 6, 2020		April 22, 2020	Hospital Universitario de Ferrol, Ferrol, A Coruña, Spain|Hospital Clínico Universitario de Santiago, Santiago De Compostela, A Coruña, Spain|Hospital General de Elche, Elche, Alicante, Spain|Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain|Hospital Sant Joan de Deu de Esplugues, Esplugues De Llobregat, Barcelona, Spain|Parc Sanitari Sant Joan de Déu de Sant Boi, Sant Boi De Llobregat, Barcelona, Spain|Hospital Infanta Margarita, Cabra, Córdoba, Spain|Hospital Insular de Las Palmas, Las Palmas De Gran Canaria, Gran Canaria, Spain|Hospital Universitario de Canarias, Las Palmas De Gran Canaria, Gran Canaria, Spain|Hospital de Donostia, San Sebastián, Guipuzcoa, Spain|Hospital San Pedro, Logroño, La Rioja, Spain|Hospital Principe de Asturias, Alcalá De Henares, Madrid, Spain|Hospital Fundación de Alcorcón, Alcorcón, Madrid, Spain|Hospital Colllado Villalba, Collado-Villalba, Madrid, Spain|Hospital Severo Ochoa, Leganés, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Quirón Pozuelo, Pozuelo De Alarcón, Madrid, Spain|Hospital de Torrejón, Torrejón De Ardoz, Madrid, Spain|Hospital Infanta Elena, Valdemoro, Madrid, Spain|Hospital Virgen del Castillo, Yecla, Murcia, Spain|Hospital Costa del Sol, Marbella, Málaga, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Arnau de Vilanova, Llíria, Valencia, Spain|Hospital de Araba, Alava, Vitoria, Spain|Hospital General Universitario de Albacete, Albacete, Spain|Centro Médico Teknon, Barcelona, Spain|Hospital Clinic, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Dexeus, Barcelona, Spain|Hospital Quirón Barcelona, Barcelona, Spain|Hospital Sant Pau, Barcelona, Spain|Hospital Universitario Sagrat Cor, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Virgen de la Luz, Cuenca, Spain|Hospital Clínico San Cecilio, Granada, Spain|Hospital Universitario de León, León, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Fundación Jiménez Díaz, Madrid, Spain|Hospital Clinico San Carlos, Madrid, Spain|Hospital Infanta Leonor, Madrid, Spain|Hospital La Princesa, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Gregorio Marañon, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Puerta de Hierro, Madrid, Spain|Hospital Reina Sofía, Murcia, Spain|Hospital Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Virgen de la Victoria, Málaga, Spain|Complejo Asistencial de Palencia, Palencia, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital General de Segovia, Segovia, Spain|Hospital Virgen del Rocio, Sevilla, Spain|Hospital Virgen Macarena, Sevilla, Spain|Hospital Clinico Universitario, Valencia, Spain|Hospital Dr. Peset, Valencia, Spain|Hospital General de Valencia, Valencia, Spain|Hospital La Fe, Valencia, Spain|Hospital de Valladolid, Valladolid, Spain|Hospital Rio Hortega, Valladolid, Spain|Hospital Lozano Blesa, Zaragoza, Spain|Hospital Miguel Servet, Zaragoza, Spain|Hospital Nuestra Señora de Sonsoles, Ávila, Spain		https://ClinicalTrials.gov/show/NCT04334928
578	NCT04355676	Evaluation of Activity and Safety of Two Regimens of Low Dose Oral Selinexor in Participants With Moderate or Severe COVID-19		Not yet recruiting	No Results Available	Coronavirus Infection	Drug: Selinexor	Percentage of Participants with at Least a 2 Point Improvement in the Ordinal Scale|Time to Clinical Improvement (TTCI)|Overall Death Rate|Rate of Mechanical Ventilation|Time to Mechanical Ventilation|Overall Survival|Time to Improvement (2 points) in Clinical Measures Using the Ordinal Scale|Time to Intensive Care Unit (ICU) Admission|Rate of Intensive Care Unit (ICU) Admission|Length of Stay in Hospital|Percentage of Participants Discharged From Hospital|Length of Stay in Intensive Care Unit (ICU)|Duration of Oxygen Supplementation|Duration of Mechanical Ventilation|Time to Clinical Improvement in Participants ≤ 70 Years Old|Time to Clinical Improvement in Participants > 70 Years Old|Time to Clinical Improvement in Participants with Pre-existing Diseases|Change in Oxygenation Index|Time to Improvement of One Point Using WHO Ordinal Scale Improvement|Percentage of Participants Experiencing WHO Ordinal Scale Improvement of >1 point|Change from Baseline in C-reactive protein (CRP) Levels|Change from Baseline in Ferritin Levels|Change from Baseline in Lactate Dehydrogenase (LDH) Levels|Number of Participants with Adverse Events (AE)	Karyopharm Therapeutics Inc	All	18 Years and older   (Adult, Older Adult)	Phase 2	80	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	XPORT-CoV-1002	April 30, 2020	August 30, 2020	August 30, 2020	April 21, 2020		April 21, 2020			https://ClinicalTrials.gov/show/NCT04355676
579	NCT04357639	Impact of Long-term Protease Inhibitors in Patients Living With HIV on the Incidence of COVID-19 ( COVIP )		Not yet recruiting	No Results Available	HIV Patients	Other: No intervention	Comparison of the incidence of COVID-19 infection in PLWHIV treated with long-term antiretroviral drugs including a protease inhibitor and those without a protease inhibitor|Determination of the seroprevalence of COVID-19 infection in both groups of the study|Comparison of the severity of COVID-19 infection symptoms in both groups of the study.|Identification of potential risk factors for COVID-19 infection in HIV patients treated with protease inhibitor or without protease inhibitor	Centre Hospitalier Intercommunal Creteil|Centre Hospitalier Intercommunal Villeneuve St Georges	All	18 Years and older   (Adult, Older Adult)		794	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	COVIP	April 30, 2020	May 31, 2020	October 31, 2020	April 22, 2020		April 24, 2020	CHI Créteil, Créteil, France|CHU Henri Mondor, Créteil, France|Centre hospitalier de Melun (GHSIF), Melun, France|Hôpital universitaire de Hôtel Dieu, Paris, France|CHI Villeneuve St Georges, Villeneuve-Saint-Georges, France		https://ClinicalTrials.gov/show/NCT04357639
580	NCT04361396	Assessment of the Presence of the SARS-COV-2 Virus in the Peritoneum of COVID-19 Patients	LAPTRANSCOV	Not yet recruiting	No Results Available	Coronavirus Infection	Other: Assessment of the presence of the SARS-COV-2 virus	Assessment of the presence of the SARS-COV-2 virus at T4|Assessment of the presence of the SARS-COV-2 virus at T1|Assessment of the presence of the SARS-COV-2 virus in the peritoneal effusion at T2 or T4|Assessment of the presence of the SARS-COV-2 virus at T3|Assessment of the presence of the SARS-COV-2 virus at T5	Centre Hospitalier René Dubos	All	18 Years and older   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	CHRD 0420	April 23, 2020	October 2020	October 2020	April 24, 2020		April 24, 2020	Department of General and Digestive Surgery, Hospital René Dubos, Pontoise, France|Department of Gynecology-Obstetrics, Hospital René Dubos, Pontoise, France		https://ClinicalTrials.gov/show/NCT04361396
581	NCT04346277	Compassionate Use Open-Label Anti-CD14 Treatment in Patients With SARS-CoV-2 (COVID-19)		Available	No Results Available	COVID|ARDS, Human|Ards|Sars-CoV2	Biological: IC14, a monoclonal antibody against CD14		Implicit Bioscience	All	18 Years to 70 Years   (Adult, Older Adult)			Industry	Expanded Access:Intermediate-size Population		COV02				April 15, 2020		April 16, 2020	IRCCS San Raffaele Scientific Institute, Vita-Salute San Raffaele University, Milano, Italy		https://ClinicalTrials.gov/show/NCT04346277
582	NCT04353128	Efficacy of Melatonin in the Prophylaxis of Coronavirus Disease 2019 (COVID-19) Among Healthcare Workers.	MeCOVID	Not yet recruiting	No Results Available	Covid19|SARS-CoV 2|Coronavirus Infection	Drug: Melatonin 2mg|Drug: Placebo oral tablet	SARS-CoV 2 infection rate	Instituto de Investigación Hospital Universitario La Paz	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2|Phase 3	450	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention	MeCOVID	April 2020	April 2021	July 2021	April 20, 2020		April 22, 2020			https://ClinicalTrials.gov/show/NCT04353128
583	NCT04329533	Effects of Using Mobile App on Perceived Stress During COVID-19 Pandemic		Recruiting	No Results Available	Perceived Stress|Anxiety|Sleep Disturbance	Other: "Calm" is a mindfulness meditation mobile app	Perceived Stress Scale|Hospital Anxiety and Depression Scale|PROMIS Sleep Disturbance Short Form Survey|Adherence|Participant Satisfaction|Coronavirus Questionnaire	University of Arizona	Female	18 Years to 99 Years   (Adult, Older Adult)	Not Applicable	150	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	2003524869	April 13, 2020	June 30, 2020	July 30, 2020	April 1, 2020		April 21, 2020	Banner University Medicine Women's Institute, Phoenix, Arizona, United States		https://ClinicalTrials.gov/show/NCT04329533
584	NCT04323787	Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry	COVID-19	Recruiting	No Results Available	Coronavirus	Other: observational	ICU and hospital mortality of COVID-19 patients|30 days mortality	Mayo Clinic	All	Child, Adult, Older Adult		50000	Other	Observational	Observational Model: Cohort|Time Perspective: Other	20-002610	March 30, 2020	April 30, 2021	April 30, 2021	March 27, 2020		April 14, 2020	Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Society of Critical Care Medicine (150+ sites), Chicago, Illinois, United States|Rahul Kashyap, Rochester, Minnesota, United States		https://ClinicalTrials.gov/show/NCT04323787
585	NCT04332835	Convalescent Plasma for Patients With COVID-19: A Randomized, Open Label, Parallel, Controlled Clinical Study	CP-COVID-19	Not yet recruiting	No Results Available	Coronavirus|Coronavirus Infection	Drug: Plasma|Drug: Hydroxychloroquine|Drug: Azithromycin	Change in Viral Load|Change in Immunoglobulin M COVID-19 Titers|Change in Immunoglobulin G COVID-19 Titers|Intensive Care Unit Admission|Length of Intensive Care Unit stay|Length of hospital stay (days)|Requirement of mechanical ventilation|Duration (days) of mechanical ventilation|Clinical status assessed according to the World Health Organization guideline|Mortality	Universidad del Rosario|Fundación Universitaria de Ciencias de la Salud|CES University|Instituto Distrital de Ciencia Biotecnología e Innovacion en Salud	All	18 Years to 60 Years   (Adult)	Phase 2|Phase 3	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	ABN011-2	April 1, 2020	August 31, 2020	December 31, 2020	April 3, 2020		April 3, 2020	Universidad del Rosario, Bogota, Cundinamarca, Colombia		https://ClinicalTrials.gov/show/NCT04332835
586	NCT04352556	COVID19-hematological Malignancies: the Italian Hematology Alliance		Recruiting	No Results Available	SARS-CoV-2 Infection|Hematological Malignancies		To evaluate admission to ICU requiring mechanical ventilation or death.|To evaluate potential predictive biochemical parameters of mortality.|To evaluate potential predictive HM-related parameters of mortality.|To evaluate COVID severity as predictive parameter of mortality.|Epidemiology of patients with HM infected by SARS-CoV-2with any spectrum of illness severity|Definition of complete clinical picture of COVID-19 in HM|Dynamic of HM evolution|To evaluate admission to ICU requiring mechanical ventilation or death per characteristics|Viral dynamics in infected HM patients	Ospedale di Circolo - Fondazione Macchi	All	18 Years and older   (Adult, Older Adult)		250	Other	Observational	Observational Model: Cohort|Time Perspective: Other	HM-COVID19-Italy	April 7, 2020	April 30, 2021	April 30, 2021	April 20, 2020		April 20, 2020	SC Ematologia Ospedale SS Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|UOC Ematologia, Ospedali Riuniti, Ancona, Italy|UOC Ematologia e Terapia Cellulare, Ospedale Mazzoni, Ascoli Piceno, Italy|SC Oncologia Medica, CRO, Aviano, Italy|SC Ematologia, Policlinico Bari, Bari, Italy|UOC Ematologia, I.R.C.C.S Istituto Tumori Giovanni Paolo II, Bari, Italy|SSD Ematologia, Ospedale degli Infermi, Biella, Italy|UOC Ematologia, Azienda Ospedaliero-Universitaria Policlinico S.Orsola-Malpighi,, Bologna, Italy|Ematologia e Centro Trapianto Midollo Osseo, Ospedale di Bolzano, Bolzano, Italy|UO Ematologia e CTMO, ASST Spedali Civili, Brescia, Italy|UO Ematologia e CTMO, ASST Spedali Civili, Brescia, Italy|UOC Onco-Ematologia ASST Valle Olona, Busto Arsizio, Italy|SC Ematologia e CTMO AZIENDA OSPEDALIERA "G. BROTZU" - OSPEDALE ONCOLOGICO BUSINCO, Cagliari, Italy|UOC Ematologia, AOU Policlinico Vittorio Emanuele, Catania, Italy|Ematologia, Ospedale Valduce, Como, Italy|UOC Ematologia, Azienda Ospedaliera di Cosenza, Cosenza, Italy|UO Ematologia e CTMO, ASST Cremona, Cremona, Italy|SC Ematologia Ospedale S. Croce, Cuneo, Italy|UOC, Ematologia Azienda Ospedaliero Universitaria Arcispedale S. Anna, Ferrara, Italy|S.O.D. Ematologia, Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|UOC Ematologia, Policlinico Ospedali Riuniti, Foggia, Italy|UO Ematologia, Ospedale Policlinico S.Martino IRCCS, Genova, Italy|UO Ematologia, Ospedale Policlinico San Martino, Genova, Italy|UOC di Ematologia e Trapianto di Cellule Staminali, P.O. Vito Fazzi, Lecce, Italy|UOC di Ematologia, Ospedale di Legnano, Legnano, Italy|UOC Oncologia ASST Lodi, Lodi, Italy|UOC Ematologia Azienda Ospedaliera Universitaria "G.Martino", Messina, Italy|UO Ematologia, Ospedale dell'Angelo di Mestre, Mestre, Italy|Ematologia, IEO, Milano, Italy|SC Ematologia, Istituto Nazionale dei Tumori, Milano, Italy|SC Ematologia, Ospedale Niguarda, Milano, Italy|UO Ematologia, IRCCS Ospedale San Raffaele, Milano, Italy|UO Servizio di Ematologia e Medicina Trasfusionale, Ospedale Luigi Sacco, Milano, Italy|UOC Ematologia, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milano, Italy|UO Ematologia Policlinico di Modena, Modena, Italy|UOC Ematologia, Ospedale S. Gerardo, Monza, Italy|SC Ematologia Istituto Nazionale Tumori - IRCCS "Fondazione G. Pascale",, Napoli, Italy|UOC Ematologia e Trapianti di Midollo, AOU Federico II, Napoli, Italy|UOC Ematologia, Ospedale Antonio Cardarelli, Napoli, Italy|UOC Ematologia, Azienda Ospedaliero-Universitaria Maggiore della Carità, Novara, Italy|Ospedale san Luigi Gonzaga, Orbassano, Italy|Ematologia Azienda Ospedaliera di Padova, Padova, Italy|UO Ematologia, Policlinico Paolo Giaccone, Palermo, Italy|UOC Ematologia e CTMO, Azienda Ospedaliero-Universitaria di Parma, Parma, Italy|SC Ematologia, Fondazione IRCCS Policlinico San Matteo, Pavia, Italy|SC Ematologia e Trapianto di Midollo Osseo, Azienda Ospedaliera di Perugia, Perugia, Italy|UO Ematologia e CTMO, Azienda Ospedaliera Ospedali Riuniti, Pesaro, Italy|UOC di Ematologia, Ospedale Civile Spirito Santo, Pescara, Italy|UO Ematologia e CTMO, Presidio Ospedaliero di Piacenza, Piacenza, Italy|UO Ematologia, AOU Pisana- Santa Chiara, Pisa, Italy|UO Ematologia dell'Ospedale Santa Maria delle Croci, Ravenna, Italy|UOC Ematologia, Grande Ospedale Metropolitano Bianchi-Melacrino-Morelli, Reggio Calabria, Italy|SC Ematologia, Arcispedale Santa Maria Nuova, Reggio Emilia, Italy|UO Ematologia, Ospedale Infermi, Rimini, Italy|SC Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy|UO Ematologia e Trapianti di Cellule Staminali, A.O. S. Camillo-Forlanini, Roma, Italy|UO Ematologia, Policlinico Tor Vergata, Roma, Italy|UOC Ematologia e trapianto di cellule staminali, Policlinico Universitario Campus Bio-Medico, Roma, Italy|UOC Ematologia Policlinico Umberto I, Roma, Italy|UOC Ematologia, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Roma, Italy|UO Ematologia, Istituto Clinico Humanitas, Rozzano, Italy|UOC Ematologia e centro trapianti cellule staminali emopoietiche, AOU San Giovanni Di Dio e Ruggi D'aragona, Salerno, Italy|UOC Ematologia, Policlinico Santa Maria alle Scotte, Siena, Italy|UOC Ematologia e Trapianto Midollo Osseo, Ospedale S. G. Moscati, Taranto, Italy|SCDU Ematologia e terapie cellulari, Ospedale Mauriziano Umberto I, Torino, Italy|UO Ematologia, Ospedale Universitario Molinette San Giovanni Battista, Torino, Italy|UO Ematologia, Ospedale Universitario Molinette San Giovanni Battista, Torino, Italy|UO Ematologia, Ospedale Civili Ca' Foncello, Treviso, Italy|SC Ematologia, Azienda sanitaria universitaria Giuliano Isontina, Trieste, Italy|Clinica Ematologia, Azienda Ospedaliera-Universitaria Santa Maria della Misericordia, Udine, Italy|UOC Ematologia, ASST Sette Laghi, Osp. Di Circolo e Fondazione Macchi, Varese, Italy|UOC Ematologia, Azienda Ospedaliera Integrata di Verona, Verona, Italy|UOC Ematologia, Azienda Ospedaliera Integrata di Verona, Verona, Italy|UOC Ematologia, Ospedale San Bortolo, Vicenza, Italy		https://ClinicalTrials.gov/show/NCT04352556
587	NCT04334876	Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers	COVID-Antibody	Not yet recruiting	No Results Available	SARS-CoV-2	Diagnostic Test: SARS-CoV-2 IgG Antibody Testing Kit	Validation of SARS-CoV-2 IgG Antibody Test|Incidence of Seroconversion|Identify Candidacy	Indiana University	All	18 Years and older   (Adult, Older Adult)		340	Other	Observational	Observational Model: Ecologic or Community|Time Perspective: Prospective	2003973826	April 1, 2020	November 1, 2020	January 1, 2021	April 6, 2020		April 6, 2020			https://ClinicalTrials.gov/show/NCT04334876
588	NCT04361461	Use of Hydroxychloroquine Alone or Associated for Inpatients With SARS-CoV2 Virus (COVID-19)		Not yet recruiting	No Results Available	Coronavirus Infections|SARS-CoV 2|SARS (Severe Acute Respiratory Syndrome)|Pulmonary Disease	Drug: Hydroxychloroquine Sulfate|Drug: Hydroxychloroquine Sulfate + Azythromycin	Individual response rate|All-cause mortality|Duration of mechanical ventilation|Proportion of patients which needed mechanical ventilation during study|World Health Organization (WHO) Ordinal scale|Duration of hospitalization|Rates of drug discontinuation	Apsen Farmaceutica S.A.|Hospital São Paulo	All	18 Years and older   (Adult, Older Adult)	Phase 3	500	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	APS001/2020	May 4, 2020	November 4, 2020	November 4, 2020	April 24, 2020		April 24, 2020	Apsen Farmacêutica S.A., São Paulo, Brazil		https://ClinicalTrials.gov/show/NCT04361461
589	NCT04362267	Longitudinal Study of SARS-Cov2 Infection Among HCW in a French University Hospital	PRECOVIA	Not yet recruiting	No Results Available	Sars-CoV2	Other: self-administered questionnaire|Diagnostic Test: SARS-Cov2 testing	the incidence of SARS- Cov2 infection Heath Care Worker diagnosed by the positivity of SARS-Cov2 RT-PCT and serological testing|Occupational exposures associated with the SARS-Cov2 infection|Environmental exposures associated with the SARS-Cov2 infection	University Hospital, Lille|Fondation Santé Roquette	All	18 Years and older   (Adult, Older Adult)		150	Other	Observational	Observational Model: Cohort|Time Perspective: Cross-Sectional	2020_34|2020-A00950-39	April 2020	September 2020	September 2020	April 24, 2020		April 24, 2020			https://ClinicalTrials.gov/show/NCT04362267
590	NCT04306705	Tocilizumab vs CRRT in Management of Cytokine Release Syndrome (CRS) in COVID-19	TACOS	Recruiting	No Results Available	Covid-19|SARS|Cytokine Storm|Cytokine Release Syndrome|Tocilizumab	Drug: Tocilizumab|Other: Standard of care|Procedure: Continuous renal replacement therapy	Proportion of Participants With Normalization of Fever and Oxygen Saturation Through Day 14|Duration of hospitalization|Proportion of Participants With Normalization of Fever Through Day 14|Change from baseline in white blood cell and differential count|Time to first negative in 2019 novel Corona virus RT-PCR test|All-cause mortality|Change from baseline in hsCRP|Change from baseline in cytokines IL-1β, IL-10, sIL-2R, IL-6, IL-8 and TNF-α|Change from baseline in proportion of CD4+CD3/CD8+CD3 T cells	Tongji Hospital|Hubei Xinhua Hospital|Wuhan No.1 Hospital|Wuhan central hospital	All	18 Years to 80 Years   (Adult, Older Adult)		120	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	WHTJCOVID-19	February 20, 2020	May 30, 2020	June 20, 2020	March 13, 2020		March 17, 2020	Tongji Hospital, Wuhan, Hubei, China		https://ClinicalTrials.gov/show/NCT04306705
591	NCT04359693	Impact of SARS-CoV-2 Infection on the Incidence of Ventilator-acquired Infections	COVAPID	Not yet recruiting	No Results Available	SARS-CoV 2		Cumulative incidence of ventilator-associated lower respiratory tract infection|Cumulative incidence of ventilator-associated tracheobronchitis|Cumulative incidence of ventilator-associated pneumonia|the cumulative incidence of ICU acquired bacteremia diagnosed|ICU mortality|Mortality|the duration of mechanical ventilation|Length of stay in Intensive Care Unit	University Hospital, Lille	All	18 Years and older   (Adult, Older Adult)		1071	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2020_27|2020-A00995-34	April 2020	July 2020	July 2020	April 24, 2020		April 24, 2020			https://ClinicalTrials.gov/show/NCT04359693
592	NCT04337424	Evaluation of Quickly Diagnostic Saliva Tests for SARS-CoV-2	EasyCoV	Not yet recruiting	No Results Available	SARS-CoV-2	Diagnostic Test: Sampling salivary	Specific detection of SARS-CoV-2 specific RNA|Analytical sensitivity of the LAMP test.|The correlation between the measurement of the assayed viral load (CT value) by the standard method and by the LAMP developed by SYS2DIAG / SKILLCELL.|Evaluation of the use of saliva samples compared to nasopharyngeal samples	University Hospital, Montpellier|SkillCell|Sys2Diag (CNRS-Alcediag UMR9005)	All	18 Years to 90 Years   (Adult, Older Adult)		180	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	RECHMPL20_0170	April 7, 2020	April 17, 2020	April 17, 2020	April 7, 2020		April 7, 2020			https://ClinicalTrials.gov/show/NCT04337424
593	NCT04312100	Sequential Oxygen Therapy Strategy for Patients With COVID-19	SOTSPC	Recruiting	No Results Available	Coronavirus Disease-2019	Other: oxygen treatment	Incidence of respiratory failure|28 day mortality rate	Henan Provincial People's Hospital	All	18 Years to 75 Years   (Adult, Older Adult)		30	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	SOT-C	February 1, 2020	October 2020	February 2021	March 18, 2020		March 18, 2020	Henan Provincial People's Hospital, Zhengzhou, Henan, China		https://ClinicalTrials.gov/show/NCT04312100
